,instance,k,built-in_expanded,built-in_search,built-in_total,planopt_expanded,planopt_search,planopt_total
0,1,1000,943826,3.10549,3.11766,943826,3.47465,3.50535
1,2,1000,6173897,19.6929,19.7058,6173897,18.8209,18.8513
2,3,1000,2284135,7.91125,7.92353,2284135,7.76114,7.79308
3,4,1000,3718,0.00673142,0.0189184,3718,0.00400441,0.0345399
4,5,1000,2083481,6.3577,6.37056,2083481,6.53919,6.571
5,7,1000,1212763,4.15848,4.17067,1212763,4.27894,4.31754
6,8,1000,2191432,6.02594,6.0383,2191432,5.96107,5.99246
7,9,1000,591954,2.05472,2.06688,591954,2.06614,2.09891
8,10,1000,744,0.000890042,0.0132822,744,0.000599166,0.0309808
9,11,1000,1377703,4.61265,4.62531,1377703,4.74349,4.77556
10,13,1000,6742,0.0110291,0.0231754,6742,0.0104361,0.0413564
11,14,1000,20956,0.0469413,0.059394,20956,0.0435487,0.0740702
12,16,1000,3182046,11.4561,11.4684,3182046,11.3608,11.3917
13,17,1000,5635414,20.3214,20.3333,5635414,20.3019,20.3348
14,18,1000,23009,0.0430782,0.0549545,23009,0.044858,0.0753097
15,20,1000,106,0.000307042,0.0126127,106,0.000300834,0.0334934
16,1,100000,163463,0.490671,0.522199,163463,0.495075,4.61744
17,2,100000,2077437,5.91374,5.94594,2077437,6.02642,10.0734
18,3,100000,691046,1.99263,2.02423,691046,1.98979,6.01427
19,4,100000,3718,0.00709171,0.0386036,3718,0.004879,4.01357
20,5,100000,1085453,3.08215,3.11444,1085453,2.87824,6.94929
21,7,100000,349735,1.12037,1.15135,349735,1.13123,5.19982
22,8,100000,1158937,2.73652,2.76761,1158937,2.74199,7.07196
23,9,100000,138527,0.438777,0.471155,138527,0.443599,4.59792
24,10,100000,744,0.000217207,0.0325054,744,0.000198792,4.19424
25,11,100000,314669,0.935668,0.966854,314669,1.00382,5.20408
26,13,100000,6742,0.0125416,0.0451066,6742,0.0393366,4.774
27,14,100000,20966,0.051916,0.0982421,20966,0.0497451,4.29617
28,16,100000,698947,2.77901,2.81231,698947,2.73904,7.05432
29,17,100000,1045506,3.64441,3.67647,1045506,3.78819,8.09194
30,18,100000,22996,0.0423888,0.0746699,22996,0.0437744,4.33816
31,20,100000,106,0.000191042,0.0329363,106,0.00022025,4.12786
